Series_reference,Period
BDCQ.SF1CC5CT,2017.09
BDCQ.SF1CC5CT,2017.12
BDCQ.SF1CC5CT,2018.03
BDCQ.SF1CC5CT,2018.06
BDCQ.SF1CC5CT,2018.09
BDCQ.SF1CC5CT,2018.12
BDCQ.SF1CC5CT,2019.03
BDCQ.SF1CC5CT,2019.06
BDCQ.SF1CC5CT,2019.09
BDCQ.SF1CC5CT,2019.12
BDCQ.SF1CC5CT,2020.03
BDCQ.SF1CC5CT,2020.06
BDCQ.SF1CC5CT,2020.09
BDCQ.SF1CC5CT,2020.12
BDCQ.SF1CC5CT,2021.03
BDCQ.SF1CC6CA,2016.06
BDCQ.SF1CC6CA,2016.09
BDCQ.SF1CC6CA,2016.12
BDCQ.SF1CC6CA,2017.03
BDCQ.SF1CC6CA,2017.06
BDCQ.SF1CC6CA,2017.09
BDCQ.SF1CC6CA,2017.12
BDCQ.SF1CC6CA,2018.03
BDCQ.SF1CC6CA,2018.06
BDCQ.SF1CC6CA,2018.09
BDCQ.SF1CC6CA,2018.12
BDCQ.SF1CC6CA,2019.03
BDCQ.SF1CC6CA,2019.06
BDCQ.SF1CC6CA,2019.09
BDCQ.SF1CC6CA,2019.12
BDCQ.SF1CC6CA,2020.03
BDCQ.SF1CC6CA,2020.06
BDCQ.SF1CC6CA,2020.09
BDCQ.SF1CC6CA,2020.12
BDCQ.SF1CC6CA,2021.03
BDCQ.SF1CC6CS,2016.06
BDCQ.SF1CC6CS,2016.09
BDCQ.SF1CC6CS,2016.12
BDCQ.SF1CC6CS,2017.03
BDCQ.SF1CC6CS,2017.06
BDCQ.SF1CC6CS,2017.09
BDCQ.SF1CC6CS,2017.12
BDCQ.SF1CC6CS,2018.03
BDCQ.SF1CC6CS,2018.06
BDCQ.SF1CC6CS,2018.09
BDCQ.SF1CC6CS,2018.12
BDCQ.SF1CC6CS,2019.03
BDCQ.SF1CC6CS,2019.06
BDCQ.SF1CC6CS,2019.09
BDCQ.SF1CC6CS,2019.12
BDCQ.SF1CC6CS,2020.03
BDCQ.SF1CC6CS,2020.06
BDCQ.SF1CC6CS,2020.09
BDCQ.SF1CC6CS,2020.12
BDCQ.SF1CC6CS,2021.03
BDCQ.SF1CC6CT,2016.06
BDCQ.SF1CC6CT,2016.09
BDCQ.SF1CC6CT,2016.12
BDCQ.SF1CC6CT,2017.03
BDCQ.SF1CC6CT,2017.06
BDCQ.SF1CC6CT,2017.09
BDCQ.SF1CC6CT,2017.12
BDCQ.SF1CC6CT,2018.03
BDCQ.SF1CC6CT,2018.06
BDCQ.SF1CC6CT,2018.09
BDCQ.SF1CC6CT,2018.12
BDCQ.SF1CC6CT,2019.03
BDCQ.SF1CC6CT,2019.06
BDCQ.SF1CC6CT,2019.09
BDCQ.SF1CC6CT,2019.12
BDCQ.SF1CC6CT,2020.03
BDCQ.SF1CC6CT,2020.06
BDCQ.SF1CC6CT,2020.09
BDCQ.SF1CC6CT,2020.12
BDCQ.SF1CC6CT,2021.03
BDCQ.SF1CC7CA,2016.06
BDCQ.SF1CC7CA,2016.09
BDCQ.SF1CC7CA,2016.12
BDCQ.SF1CC7CA,2017.03
BDCQ.SF1CC7CA,2017.06
BDCQ.SF1CC7CA,2017.09
BDCQ.SF1CC7CA,2017.12
BDCQ.SF1CC7CA,2018.03
BDCQ.SF1CC7CA,2018.06
BDCQ.SF1CC7CA,2018.09
BDCQ.SF1CC7CA,2018.12
BDCQ.SF1CC7CA,2019.03
BDCQ.SF1CC7CA,2019.06
BDCQ.SF1CC7CA,2019.09
BDCQ.SF1CC7CA,2019.12
BDCQ.SF1CC7CA,2020.03
BDCQ.SF1CC7CA,2020.06
BDCQ.SF1CC7CA,2020.09
BDCQ.SF1CC7CA,2020.12
BDCQ.SF1CC7CA,2021.03
BDCQ.SF1CC7CS,2016.06
BDCQ.SF1CC7CS,2016.09
BDCQ.SF1CC7CS,2016.12
BDCQ.SF1CC7CS,2017.03
BDCQ.SF1CC7CS,2017.06
BDCQ.SF1CC7CS,2017.09
BDCQ.SF1CC7CS,2017.12
BDCQ.SF1CC7CS,2018.03
BDCQ.SF1CC7CS,2018.06
BDCQ.SF1CC7CS,2018.09
BDCQ.SF1CC7CS,2018.12
BDCQ.SF1CC7CS,2019.03
BDCQ.SF1CC7CS,2019.06
BDCQ.SF1CC7CS,2019.09
BDCQ.SF1CC7CS,2019.12
BDCQ.SF1CC7CS,2020.03
BDCQ.SF1CC7CS,2020.06
BDCQ.SF1CC7CS,2020.09
BDCQ.SF1CC7CS,2020.12
BDCQ.SF1CC7CS,2021.03
BDCQ.SF1CC7CT,2016.06
BDCQ.SF1CC7CT,2016.09
BDCQ.SF1CC7CT,2016.12
BDCQ.SF1CC7CT,2017.03
BDCQ.SF1CC7CT,2017.06
BDCQ.SF1CC7CT,2017.09
BDCQ.SF1CC7CT,2017.12
BDCQ.SF1CC7CT,2018.03
BDCQ.SF1CC7CT,2018.06
BDCQ.SF1CC7CT,2018.09
BDCQ.SF1CC7CT,2018.12
BDCQ.SF1CC7CT,2019.03
BDCQ.SF1CC7CT,2019.06
BDCQ.SF1CC7CT,2019.09
BDCQ.SF1CC7CT,2019.12
BDCQ.SF1CC7CT,2020.03
BDCQ.SF1CC7CT,2020.06
BDCQ.SF1CC7CT,2020.09
BDCQ.SF1CC7CT,2020.12
BDCQ.SF1CC7CT,2021.03
BDCQ.SF1CC8CA,2016.06
BDCQ.SF1CC8CA,2016.09
BDCQ.SF1CC8CA,2016.12
BDCQ.SF1CC8CA,2017.03
BDCQ.SF1CC8CA,2017.06
BDCQ.SF1CC8CA,2017.09
BDCQ.SF1CC8CA,2017.12
BDCQ.SF1CC8CA,2018.03
BDCQ.SF1CC8CA,2018.06
BDCQ.SF1CC8CA,2018.09
BDCQ.SF1CC8CA,2018.12
BDCQ.SF1CC8CA,2019.03
BDCQ.SF1CC8CA,2019.06
BDCQ.SF1CC8CA,2019.09
BDCQ.SF1CC8CA,2019.12
BDCQ.SF1CC8CA,2020.03
BDCQ.SF1CC8CA,2020.06
BDCQ.SF1CC8CA,2020.09
BDCQ.SF1CC8CA,2020.12
BDCQ.SF1CC8CA,2021.03
BDCQ.SF1CC8CS,2016.06
BDCQ.SF1CC8CS,2016.09
BDCQ.SF1CC8CS,2016.12
BDCQ.SF1CC8CS,2017.03
BDCQ.SF1CC8CS,2017.06
BDCQ.SF1CC8CS,2017.09
BDCQ.SF1CC8CS,2017.12
BDCQ.SF1CC8CS,2018.03
BDCQ.SF1CC8CS,2018.06
BDCQ.SF1CC8CS,2018.09
BDCQ.SF1CC8CS,2018.12
BDCQ.SF1CC8CS,2019.03
BDCQ.SF1CC8CS,2019.06
BDCQ.SF1CC8CS,2019.09
BDCQ.SF1CC8CS,2019.12
BDCQ.SF1CC8CS,2020.03
BDCQ.SF1CC8CS,2020.06
BDCQ.SF1CC8CS,2020.09
BDCQ.SF1CC8CS,2020.12
BDCQ.SF1CC8CS,2021.03
BDCQ.SF1CC8CT,2016.06
BDCQ.SF1CC8CT,2016.09
BDCQ.SF1CC8CT,2016.12
BDCQ.SF1CC8CT,2017.03
BDCQ.SF1CC8CT,2017.06
BDCQ.SF1CC8CT,2017.09
BDCQ.SF1CC8CT,2017.12
BDCQ.SF1CC8CT,2018.03
BDCQ.SF1CC8CT,2018.06
BDCQ.SF1CC8CT,2018.09
BDCQ.SF1CC8CT,2018.12
BDCQ.SF1CC8CT,2019.03
BDCQ.SF1CC8CT,2019.06
BDCQ.SF1CC8CT,2019.09
BDCQ.SF1CC8CT,2019.12
BDCQ.SF1CC8CT,2020.03
BDCQ.SF1CC8CT,2020.06
BDCQ.SF1CC8CT,2020.09
BDCQ.SF1CC8CT,2020.12
BDCQ.SF1CC8CT,2021.03
BDCQ.SF1CC9CA,2016.06
BDCQ.SF1CC9CA,2016.09
BDCQ.SF1CC9CA,2016.12
BDCQ.SF1CC9CA,2017.03
BDCQ.SF1CC9CA,2017.06
BDCQ.SF1CC9CA,2017.09
BDCQ.SF1CC9CA,2017.12
BDCQ.SF1CC9CA,2018.03
BDCQ.SF1CC9CA,2018.06
BDCQ.SF1CC9CA,2018.09
BDCQ.SF1CC9CA,2018.12
BDCQ.SF1CC9CA,2019.03
BDCQ.SF1CC9CA,2019.06
BDCQ.SF1CC9CA,2019.09
BDCQ.SF1CC9CA,2019.12
BDCQ.SF1CC9CA,2020.03
BDCQ.SF1CC9CA,2020.06
BDCQ.SF1CC9CA,2020.09
BDCQ.SF1CC9CA,2020.12
BDCQ.SF1CC9CA,2021.03
BDCQ.SF1CC9CS,2016.06
BDCQ.SF1CC9CS,2016.09
BDCQ.SF1CC9CS,2016.12
BDCQ.SF1CC9CS,2017.03
BDCQ.SF1CC9CS,2017.06
BDCQ.SF1CC9CS,2017.09
BDCQ.SF1CC9CS,2017.12
BDCQ.SF1CC9CS,2018.03
BDCQ.SF1CC9CS,2018.06
BDCQ.SF1CC9CS,2018.09
BDCQ.SF1CC9CS,2018.12
BDCQ.SF1CC9CS,2019.03
BDCQ.SF1CC9CS,2019.06
BDCQ.SF1CC9CS,2019.09
BDCQ.SF1CC9CS,2019.12
BDCQ.SF1CC9CS,2020.03
BDCQ.SF1CC9CS,2020.06
